Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Date extracted,Family,Genus,Species
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Abutilon,julianae
Acacia ammophila,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,ammophila
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,anomala
Acacia aphylla,Leafless Rock Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,aphylla
Acacia aprica,Blunt Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,aprica
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,araneosa
Acacia aristulata,Watheroo Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,aristulata
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,ataxiphylla
Acacia atrox,Myall Creek Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,atrox
Acacia attenuata,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,attenuata
Acacia auratiflora,Orange-flowered Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,auratiflora
Acacia awestoniana,Stirling Range Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,awestoniana
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,axillaris
Acacia baueri subsp. aspera,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,baueri
Acacia blayana,Blay's Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,blayana
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,brachypoda
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,bynoeana
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,caerulescens
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,-,Yes,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,carneorum
Acacia chapmanii subsp. australis,-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,chapmanii
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,cochlocarpa
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,cochlocarpa
Acacia constablei,Narrabarba Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,constablei
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,courtii
Acacia cretacea,Chalky Wattle,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,cretacea
Acacia crombiei,Pink Gidgee,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,crombiei
Acacia curranii,Curly-bark Wattle,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,curranii
Acacia dangarensis,-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,dangarensis
Acacia denticulosa,Sandpaper Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,denticulosa
Acacia depressa,Echidna Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,depressa
Acacia deuteroneura,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,deuteroneura
Acacia enterocarpa,Jumping-jack Wattle,Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,enterocarpa
Acacia equisetifolia,a shrub,Critically Endangered,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,equisetifolia
Acacia eremophiloides,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,eremophiloides
Acacia flocktoniae,Flockton Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,flocktoniae
Acacia forrestiana,Forest's Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,forrestiana
Acacia forsteri,-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,forsteri
Acacia georgensis,Bega Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,georgensis
Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,glandulicarpa
Acacia gordonii,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,gordonii
Acacia grandifolia,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,grandifolia
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,handonis
Acacia imitans,Gibson Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,imitans
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,insolita
Acacia kingiana,-,Extinct,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,kingiana
Acacia lanigera var. gracilipes,-,Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,lanigera
Acacia lanuginophylla,Woolly Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,lanuginophylla
Acacia latzii,Latz's Wattle,Vulnerable,-,-,Yes,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,latzii
Acacia lauta,Tara Wattle,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,lauta
Acacia leptalea,Chinocup Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,leptalea
Acacia leptoneura,-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,leptoneura
Acacia lobulata,Chiddarcooping Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,lobulata
Acacia lumholtzii,Girringun wattle,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,lumholtzii
Acacia macnuttiana,McNutt's Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,macnuttiana
Acacia meiantha,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,meiantha
Acacia menzelii,Menzel's Wattle,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,menzelii
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,-,-,Yes,Yes,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,peuce
Acacia pharangites,Wongan Gully Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pharangites
Acacia phasmoides,Phantom Wattle,Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,phasmoides
Acacia pickardii,Birds Nest Wattle,Vulnerable,-,-,Yes,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pickardii
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pinguifolia
Acacia porcata,-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,porcata
Acacia praemorsa,Senna Wattle,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,praemorsa
Acacia praetermissa,a shrub,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,praetermissa
Acacia prismifolia,Diels' Wattle,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,prismifolia
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pubescens
Acacia pubifolia,Velvet Wattle,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pubifolia
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,purpureopetala
Acacia pycnostachya,Bolivia Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pycnostachya
Acacia pygmaea,Dwarf Rock Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,pygmaea
Acacia recurvata,Recurved Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,recurvata
Acacia rhamphophylla,Kundip Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,rhamphophylla
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,rhetinocarpa
Acacia ruppii,Rupp's Wattle,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,ruppii
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,sciophanes
Acacia spilleriana,Spiller's Wattle,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,spilleriana
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,splendens
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,subflexuosa
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,terminalis
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,undoolyana
Acacia unguicula,a shrub,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,unguicula
Acacia vassalii,Vassal's Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,vassalii
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,volubilis
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,whibleyana
Acacia wilsonii,Wilson's Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,wilsonii
Acacia woodmaniorum,Woodman's Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Acacia,woodmaniorum
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Pardalotidae,Acanthiza,iredalei
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Acanthizidae,Acanthiza,lineata
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,-,-,-,-,-,Yes,-,-,Animalia,Aves,2026-Feb-06,Acanthizidae,Acanthiza,pusilla
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,-,Yes,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Asteraceae,Acanthocladium,dockeri
Acanthophis hawkei,Plains Death Adder,Vulnerable,-,-,Yes,Yes,-,-,-,Yes,Animalia,Reptilia,2026-Feb-06,Elapidae,Acanthophis,hawkei
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,-,-,-,-,-,Yes,-,-,Animalia,Aves,2026-Feb-06,Acanthizidae,Acanthornis,magna
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,-,-,-,-,-,-,-,-,Animalia,Aves,2026-Feb-06,Accipitridae,Accipiter,hiogaster
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Amaranthaceae,Achyranthes,arborescens
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Amaranthaceae,Achyranthes,margaretarum
Acianthus ledwardii,-,Extinct,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida,2026-Feb-06,Orchidaceae,Acianthus,ledwardii
Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida,2026-Feb-06,Orchidaceae,Acriopsis,emarginata
Acronychia littoralis,Scented Acronychia,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Rutaceae,Acronychia,littoralis
Acrophyllum australe,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Cunoniaceae,Acrophyllum,australe
Actephila foetida,-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Euphorbiaceae,Actephila,foetida
Actinotus schwarzii,Desert Flannel-flower,Vulnerable,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Apiaceae,Actinotus,schwarzii
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Gastropoda,2026-Feb-06,Camaenidae,Adclarkia,cameroni
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Gastropoda,2026-Feb-06,Camaenidae,Adclarkia,dawsonensis
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,-,-,-,Yes,-,-,-,-,Animalia,Gastropoda,2026-Feb-06,Camaenidae,Adclarkia,dulacca
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Adenanthos,dobagii
Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Adenanthos,ellipticus
Adenanthos eyrei,Toolinna Adenanthos,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Adenanthos,eyrei
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Adenanthos,pungens
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Adenanthos,pungens
Adenanthos velutinus,Velvet Woollybush,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Adenanthos,velutinus
Advena campbellii,Campbell's Keeled Glass-snail,Critically Endangered,-,-,-,-,-,-,-,-,Animalia,Gastropoda,2026-Feb-06,Microcystidae,Advena,campbellii
Aipysurus apraefrontalis,"Short-nosed Sea Snake, Short-nosed Seasnake",Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia,2026-Feb-06,Elapidae,Aipysurus,apraefrontalis
Aipysurus foliosquama,"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia,2026-Feb-06,Elapidae,Aipysurus,foliosquama
Aipysurus fuscus,Dusky Sea Snake,Endangered,-,-,-,-,-,-,-,Yes,Animalia,Reptilia,2026-Feb-06,Elapidae,Aipysurus,fuscus
Alectryon ramiflorus,Isis Tamarind,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Sapindaceae,Alectryon,ramiflorus
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,defungens
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,emuina
Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,fibrosa
Allocasuarina glareicola,-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,glareicola
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,portuensis
Allocasuarina robusta,Mount Compass Oak-bush,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,robusta
Allocasuarina simulans,Nabiac Casuarina,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,simulans
Allocasuarina thalassoscopica,-,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,thalassoscopica
Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Casuarinaceae,Allocasuarina,tortiramula
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Proteaceae,Alloxylon,flammeum
Almaleea cambagei,Torrington Pea,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Fabaceae,Almaleea,cambagei
Ammobium craspedioides,Yass Daisy,Vulnerable,Yes,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Asteraceae,Ammobium,craspedioides
Ammoniropa vigens,Ammonite Pinwheel Snail,Critically Endangered,-,-,-,-,-,Yes,-,-,Animalia,Gastropoda,2026-Feb-06,Charopidae,Ammoniropa,vigens
Amperea xiphoclada var. pedicellata,-,Extinct,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Euphorbiaceae,Amperea,xiphoclada
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,-,Yes,-,-,Yes,Yes,Yes,-,Plantae,Liliopsida,2026-Feb-06,Poaceae,Amphibromus,fluitans
Amphibromus whitei,-,Extinct,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida,2026-Feb-06,Poaceae,Amphibromus,whitei
Amphiprion mccullochi,"Whitesnout Anemonefish, McCulloch's Anemonefish",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Actinopterygii,2026-Feb-06,Pomacentridae,Amphiprion,mccullochi
Amyema plicatula,-,Endangered,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Loranthaceae,Amyema,plicatula
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,-,Yes,-,Yes,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,barbatus
Amytornis dorotheae,Carpentarian Grasswren,Endangered,-,-,Yes,Yes,-,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,dorotheae
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,merrotsyi
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,-,-,-,-,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,merrotsyi
Amytornis modestus,Thick-billed Grasswren,Vulnerable,-,Yes,Yes,-,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,modestus
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,modestus
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,-,Yes,-,-,Yes,-,Yes,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,striatus
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,-,Yes,-,-,-,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,striatus
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,-,-,-,-,Yes,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,textilis
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,-,-,Yes,-,-,-,-,-,Animalia,Aves,2026-Feb-06,Maluridae,Amytornis,woodwardi
Andersonia annelsii,-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Ericaceae,Andersonia,annelsii
Andersonia axilliflora,Giant Andersonia,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Ericaceae,Andersonia,axilliflora
Andersonia gracilis,Slender Andersonia,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Epacridaceae,Andersonia,gracilis
Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Epacridaceae,Andersonia,pinaster
Androcalva adenothalia,-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,adenothalia
Androcalva beeronensis,-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,beeronensis
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,bivillosa
Androcalva inglewoodensis,-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,inglewoodensis
Androcalva perkinsiana,Headland Commersonia,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,perkinsiana
Androcalva perlaria,Pearl-like Androcalva,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,perlaria
Androcalva procumbens,-,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,procumbens
Androcalva rosea,Sandy Hollow Commersonia,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Malvaceae,Androcalva,rosea
Angophora inopina,Charmhaven Apple,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida,2026-Feb-06,Myrtaceae,Angophora,inopina
