Scientific Name,Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class,Date extracted,Family,Genus,Species
Litoria castanea,"Yellow-spotted Tree Frog, Yellow-spotted Bell Frog",Critically Endangered,Yes,Yes,-,-,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,castanea
Litoria daviesae,Davies' Tree Frog,Vulnerable,-,Yes,-,-,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,daviesae
Litoria dayi,"Australian Lace-lid, Lace-eyed Tree Frog, Day's Big-eyed Treefrog",Vulnerable,-,-,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,dayi
Litoria kroombitensis,Kroombit Treefrog,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,kroombitensis
Litoria littlejohni,"Northern Heath Frog, Littlejohn's Tree Frog",Endangered,-,Yes,-,-,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,littlejohni
Litoria lorica,Armoured Mist Frog,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,lorica
Litoria myola,Kuranda Tree Frog,Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,myola
Litoria nyakalensis,"Mountain Mist Frog, Nyakala Frog",Critically Endangered,-,-,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,nyakalensis
Litoria olongburensis,Wallum Sedge Frog,Vulnerable,-,Yes,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,olongburensis
Litoria piperata,Peppered Tree Frog,Vulnerable,-,Yes,-,-,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,piperata
Litoria raniformis,"Southern Bell Frog, Growling Grass Frog, Green and Golden Frog, Warty Swamp Frog, Golden Bell Frog",Vulnerable,Yes,Yes,-,-,Yes,Yes,Yes,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,raniformis
Litoria spenceri,Spotted Tree Frog,Critically Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,spenceri
Litoria subglandulosa,"New England Tree Frog, Glandular Frog",Vulnerable,-,Yes,-,Yes,-,-,-,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,subglandulosa
Litoria verreauxii alpina,"Alpine Tree Frog, Verreaux's Alpine Tree Frog",Vulnerable,Yes,Yes,-,-,-,-,Yes,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,verreauxii
Litoria watsoni,"Southern Heath Frog, Watson's Tree Frog",Endangered,-,Yes,-,-,-,-,Yes,-,Animalia,Amphibia,2026-Feb-06,Pelodryadidae,Litoria,watsoni
Livistona lanuginosa,Waxy Cabbage Palm,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Liliopsida,2026-Feb-06,Arecaceae,Livistona,lanuginosa
Livistona mariae subsp. mariae,"Central Australian Cabbage Palm, Red Cabbage Palm",Endangered,-,-,Yes,-,-,-,-,-,Plantae,Liliopsida,2026-Feb-06,Arecaceae,Livistona,mariae
